God,Location
4080,Forgotten Lab
Aeolian,Unsullied Meadows
Alexandria,Damarel
Anneltha,Forbidden Depths
Apocranox,Blood Grove
Ariamaki,Land of Breath and Balance
Aurum,Temple of Lies
Azural,Frostbite Caverns
Erebyss,Path of the Damned
Friden,Where the Dead Ships Dwell
Genaros,Overgrown Temple
Gonfurian,Kingdom of Heretics
Lister,Faraway Enclave
Meraxis,The Swamplands
Mortem,Titan's Wound
Muse,Astral Gallery
Perdition,Sanctum Umbra
Reclusa,Gambler's Hive
Regalis,Arachnid Nest
Shallan,Fae Lands
Surathli,Azure Dream
T'mere M'rgo,Amalgam Gardens
Tartarith,Torture Chamber
Tenebris,Bastion of the Void
Torun,Cutthroat Jungle
Venedon,Caustic Reactor
Vertraag,Eternity's End
Vulcanar,Great Pandemonium
Yseros,The Barrens
Zonte,Refuge of the Magi
